Row_No,Name,PROJECT_NAME,SRC_SYSTEM_ID,EDW_TABLE_NAME,EDW_TARGET_SCHEMA,EDW_WORK_TABLE_NAME,EDW_TABLE_TYPE_ID,EDW_MERGE_APPEND_ONLY,EDW_MERGE_COLUMNS,STG_TABLE_NAME,DEFINITION_SQL,STG_TABLE_PK_KEY
1,aifrps,AIF_RPS,72,aif_rps_edw_preprocess_temptarget,edw_staging,aifrps_aif_rps_edw_preprocess_temptarget,3,TRUE,dim_agreement_natural_key_hash_uuid,aif_rps_edw_ctrt_full_count,src/aifrps_etl/sql/delta_load/work_load/aif_rps_edw_preprocess_temptarget.sql,|
2,aifrps,AIF_RPS,72,dim_agreement,edw_tdsunset,aifrps_dim_agreement,2,FALSE,dim_agreement_natural_key_hash_uuid,aif_rps_edw_ctrt_delta|aif_rps_edw_ctrt_delta_count|aif_rps_edw_ctrt_full,src/aifrps_etl/sql/delta_load/work_load/aifrps_dim_agreement.sql,"aifcow_source_system_id,aifcow_policy_id|admin_sys_name,cycle_date|"
3,aifrps,AIF_RPS,72,dim_coverage,edw_tdsunset,aifrps_dim_coverage,2,FALSE,dim_coverage_natural_key_hash_uuid,aif_rps_edw_ctrt_delta|aif_rps_edw_ctrt_delta_count|aif_rps_edw_ctrt_full,src/aifrps_etl/sql/delta_load/work_load/aifrps_dim_coverage.sql,||
4,aifrps,AIF_RPS,72,dim_underwriting,edw_tdsunset,aifrps_dim_underwriting,2,FALSE,dim_underwriting_natural_key_hash_uuid,aif_rps_edw_client_full|aif_rps_edw_client_full_count|aif_rps_edw_client_delta|aif_rps_edw_client_delta_count|aif_rps_edw_payee_delta,src/aifrps_etl/sql/delta_load/work_load/aifrps_dim_underwriting.sql,||||
5,aifrps,AIF_RPS,72,attr_agreement_values,edw_tdsunset,aifrps_attr_agreement_values,2,FALSE,dim_agreement_natural_key_hash_uuid,aif_rps_edw_ctrt_full|aif_rps_edw_ctrt_delta_full_count,src/aifrps_etl/sql/delta_load/work_load/aifrps_attr_agreement_values.sql,|
6,aifrps,AIF_RPS,72,rel_agreement_fund,edw_tdsunset,aifrps_rel_agreement_fund,2,FALSE,"dim_agreement_natural_key_hash_uuid,dim_fund_natural_key_hash_uuid",aif_rps_funddata_edw_funddata_delta|aif_rps_funddata_edw_funddata_delta_count,src/aifrps_etl/sql/delta_load/work_load/aifrps_rel_agreement_fund.sql,|
7,aifrps,AIF_RPS,72,fact_agreement_detail,edw_tdsunset,aifrps_fact_agreement_detail,3,TRUE,fact_agreement_detail_natural_key_hash_uuid,aif_rps_edw_ctrt_delta|aif_rps_edw_ctrt_delta_count|aif_rps_edw_ctrt_full,src/aifrps_etl/sql/delta_load/work_load/aifrps_fact_agreement_detail.sql,||
8,aifrps,AIF_RPS,72,attr_agreement_payout,edw_tdsunset,aifrps_attr_agreement_payout,2,FALSE,"dim_agreement_natural_key_hash_uuid,dim_annuity_payout_option_natural_key_hash_uuid",aif_rps_edw_ctrt_delta|aif_rps_edw_ctrt_delta_count|aif_rps_edw_ctrt_ful|aif_rps_edw_ctrt_full|aif_rps_edw_payee_full,src/aifrps_etl/sql/delta_load/work_load/aifrps_attr_agreement_payout.sql,||||
9,aifrps,AIF_RPS,72,dim_financial_transaction,edw_financial_transactions,aifrps_dim_financial_transaction,3,TRUE,dim_financial_transaction_natural_key_hash_uuid,aif_rps_edw_ctrt_delta|aif_rps_edw_ctrt_delta_count|aif_rps_edw_ctrt_full|aif_rps_edw_fintxn_delta|aif_rps_edw_ctrt_full_count,src/aifrps_etl/sql/delta_load/work_load/aifrps_dim_financial_transaction.sql,"|||aiffi_source_system_id,policy_id,aiffi_internal_txn_id ,fund_id,rep_id,company_code,plan_code,txn_cycle_date,aiffi_fund_type,txn_type|"
10,aifrps,AIF_RPS,72,rel_financial_transaction,edw_financial_transactions,aifrps_rel_financial_transaction,3,TRUE,"dim_financial_transaction_natural_key_hash_uuid,dim_party_natural_key_hash_uuid,dim_agreement_natural_key_hash_uuid,dim_fund_natural_key_hash_uuid",aif_rps_edw_ctrt_delta|aif_rps_edw_ctrt_delta_count|aif_rps_edw_ctrt_full|aif_rps_edw_fintxn_delta|aif_rps_edw_ctrt_full_count,src/aifrps_etl/sql/delta_load/work_load/aifrps_rel_financial_transaction.sql,||||
11,aifrps,AIF_RPS,72,fact_replacement_transaction,edw_financial_transactions,aifrps_fact_replacement_transaction,3,TRUE,fact_replacement_transaction_natural_key_hash_uuid,aif_rps_edw_ctrt_delta|aif_rps_edw_ctrt_delta_count|aif_rps_edw_ctrt_full,src/aifrps_etl/sql/delta_load/work_load/aifrps_fact_replacement_transaction.sql,||
12,aifrps,AIF_RPS,72,fact_financial_detail,edw_financial_transactions,aifrps_fact_financial_detail,3,TRUE,fact_financial_detail_natural_key_hash_uuid,aif_rps_edw_ctrt_delta|aif_rps_edw_ctrt_delta_count|aif_rps_edw_ctrt_full|aif_rps_edw_ctrt_full_count|aif_rps_edw_fintxn_delta,src/aifrps_etl/sql/delta_load/work_load/aifrps_fact_financial_detail.sql,||||
13,aifrps,AIF_RPS,72,dim_financial_transaction,edw_financial_transactions,aifrps_dim_financial_transaction_replacement,2,FALSE,dim_financial_transaction_natural_key_hash_uuid,aif_rps_edw_ctrt_delta|aif_rps_edw_ctrt_delta_count|aif_rps_edw_ctrt_full|aif_rps_edw_ctrt_full_count,src/aifrps_etl/sql/delta_load/work_load/aifrps_dim_financial_transaction_replacement.sql,|||
14,aifrps,AIF_RPS,72,rel_financial_transaction,edw_financial_transactions,aifrps_rel_financial_transaction_replacement,2,FALSE,"dim_financial_transaction_natural_key_hash_uuid,dim_party_natural_key_hash_uuid,dim_agreement_natural_key_hash_uuid,dim_fund_natural_key_hash_uuid",aif_rps_edw_ctrt_delta|aif_rps_edw_ctrt_delta_count|aif_rps_edw_ctrt_full|aif_rps_edw_ctrt_full_count,src/aifrps_etl/sql/delta_load/work_load/aifrps_rel_financial_transaction_replacement.sql,|||
15,aifrps,AIF_RPS,72,dim_agreement_special_program,edw_tdsunset,aifrps_dim_agreement_special_program,2,FALSE,"dim_agreement_natural_key_hash_uuid,dim_agreement_special_program_natural_key_hash_uuid",aif_rps_edw_ctrt_delta|aif_rps_edw_ctrt_delta_count,src/aifrps_etl/sql/delta_load/work_load/aifrps_dim_agreement_special_program.sql,|
